USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.3  0.0  23552 14132 ?        Ss   13:32   0:05 /sbin/init splash
root       14670  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/6:0-events]
root       14671  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/6:3-cgroup_destroy]
root       14682  0.0  0.0      0     0 ?        I    13:56   0:00 [kworker/12:1-cgroup_destroy]
legend-+   14696  0.9  0.0  21116 13228 ?        Ss   13:56   0:00 /usr/lib/systemd/systemd --user
legend-+   14702  0.0  0.0  21628  3616 ?        S    13:56   0:00 (sd-pam)
legend-+   14714  0.1  0.0 113792 12280 ?        S<sl 13:56   0:00 /usr/bin/pipewire
legend-+   14715  0.0  0.0  97736  5916 ?        Ssl  13:56   0:00 /usr/bin/pipewire -c filter-chain.conf
legend-+   14718  0.2  0.1 406964 18152 ?        S<sl 13:56   0:00 /usr/bin/wireplumber
legend-+   14720  0.0  0.0 110544 10844 ?        S<sl 13:56   0:00 /usr/bin/pipewire-pulse
legend-+   14722  0.1  0.0 316508  9840 ?        SLsl 13:56   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
legend-+   14738  0.7  0.0  10548  6228 ?        Ss   13:56   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
legend-+   14836  0.0  0.0 235712  5772 tty2     Ssl+ 13:56   0:00 /usr/libexec/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
legend-+   14846  4.1  0.4 25410180 78840 tty2   Sl+  13:56   0:03 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
legend-+   14906  0.0  0.0 298236 16200 tty2     Sl+  13:57   0:00 /usr/libexec/gnome-session-binary --session=ubuntu
legend-+   14994  0.0  0.0 383000  7604 ?        Ssl  13:57   0:00 /usr/libexec/at-spi-bus-launcher
legend-+   15001  0.0  0.0   9480  4968 ?        S    13:57   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_1
legend-+   15007  0.0  0.0 162652  6760 ?        Ssl  13:57   0:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
legend-+   15008  0.0  0.0  91548  5548 ?        Ssl  13:57   0:00 /usr/libexec/gnome-session-ctl --monitor
legend-+   15026  0.0  0.0 314276  7664 ?        Ssl  13:57   0:00 /usr/libexec/gvfsd
legend-+   15034  0.0  0.0 459708  6768 ?        Sl   13:57   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
legend-+   15037  0.2  0.1 520564 17716 ?        Ssl  13:57   0:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
legend-+   15075 11.1  2.3 4340740 385744 ?      Ssl  13:57   0:07 /usr/bin/gnome-shell
root       15099  0.0  0.0      0     0 ?        S    13:57   0:00 [nvidia-drm/timeline-11]
legend-+   15100  0.4  0.7 883812 119132 ?       Rl   13:57   0:00 /usr/libexec/mutter-x11-frames
legend-+   15103  0.0  0.0 236044  8040 ?        Sl   13:57   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
legend-+   15126  0.0  0.0 309308  5708 ?        Ssl  13:57   0:00 /usr/libexec/xdg-permission-store
legend-+   15128  0.0  0.1 654796 16892 ?        Sl   13:57   0:00 /usr/libexec/gnome-shell-calendar-server
legend-+   15136  0.2  0.5 760780 88260 ?        Ssl  13:57   0:00 /usr/libexec/evolution-source-registry
